NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,580.5,561.8,594.7,56.4,Espanhol,1.0,80.0,80.0,80.0,100.0,140.0,480.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,541.7,564.6,569.7,635.3,Inglês,1.0,160.0,200.0,160.0,200.0,200.0,920.0,Sim
"1,90E+11",Campinas,18,M,1,branca,1,3,não_respondeu,,,1,1,1,1,482.2,59.1,563.9,660.2,Inglês,1.0,160.0,120.0,140.0,160.0,140.0,720.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,534.3,568.6,51.6,441.5,Inglês,1.0,140.0,120.0,140.0,120.0,60.0,580.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,42.0,514.2,494.6,432.6,Espanhol,1.0,80.0,120.0,100.0,100.0,80.0,480.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,562.2,482.4,578.4,506.4,Inglês,1.0,80.0,80.0,80.0,80.0,0.0,320.0,Sim
"1,90E+11",Campinas,17,M,1,amarela,1,3,não_respondeu,,,1,1,1,1,496.8,568.1,579.3,539.6,Inglês,1.0,160.0,160.0,120.0,180.0,120.0,740.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,616.7,616.4,600.9,700.7,Inglês,1.0,160.0,160.0,200.0,200.0,120.0,840.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,469.5,518.3,530.4,594.7,Inglês,1.0,140.0,120.0,100.0,100.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,546.1,551.1,581.5,701.7,Inglês,1.0,160.0,120.0,160.0,140.0,120.0,700.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,587.9,625.3,576.5,701.1,Inglês,1.0,160.0,120.0,160.0,160.0,200.0,800.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,560.4,61.9,550.8,621.1,Espanhol,1.0,120.0,120.0,100.0,100.0,100.0,540.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,590.2,628.2,620.2,776.7,Inglês,1.0,160.0,160.0,180.0,200.0,200.0,900.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,385.8,53.9,560.4,56.0,Inglês,1.0,120.0,160.0,100.0,120.0,140.0,640.0,Não
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,381.3,515.7,525.3,574.4,Inglês,1.0,120.0,40.0,40.0,100.0,0.0,300.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,430.8,463.2,555.3,506.4,Inglês,1.0,120.0,160.0,120.0,140.0,120.0,660.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,552.8,60.6,576.3,654.3,Inglês,1.0,120.0,120.0,100.0,100.0,80.0,520.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,528.9,527.6,57.9,768.7,Inglês,1.0,160.0,140.0,180.0,180.0,120.0,780.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,67.2,627.2,602.4,852.8,Inglês,1.0,140.0,120.0,120.0,160.0,120.0,660.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,585.2,614.5,607.3,564.7,Inglês,1.0,160.0,140.0,140.0,120.0,180.0,740.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,548.4,576.2,57.4,598.3,Espanhol,1.0,120.0,100.0,120.0,80.0,140.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,629.4,687.7,635.8,739.2,Inglês,1.0,140.0,120.0,120.0,120.0,80.0,580.0,Sim
"1,90E+11",Campinas,18,F,1,branca,1,3,não_respondeu,,,1,1,1,1,505.8,498.3,483.4,441.3,Inglês,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,17,F,1,amarela,1,3,não_respondeu,,,1,1,1,1,567.4,561.6,54.8,659.8,Inglês,1.0,160.0,200.0,160.0,200.0,120.0,840.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,65.4,62.6,613.7,685.1,Inglês,1.0,160.0,120.0,160.0,160.0,140.0,740.0,Sim
"1,90E+11",Campinas,16,F,0,branca,1,3,não_respondeu,,,1,1,1,1,383.7,380.4,456.2,448.5,Espanhol,1.0,120.0,40.0,40.0,120.0,20.0,340.0,Sim
